system:time_start,O3_column_number_density
"Oct 19, 2020",
"Oct 19, 2020",
"Oct 19, 2020",
"Oct 19, 2020",
"Oct 20, 2020",
"Oct 20, 2020",
"Oct 20, 2020",
"Oct 20, 2020",
"Oct 20, 2020",
"Oct 20, 2020",0.121
"Oct 20, 2020",
"Oct 20, 2020",
"Oct 20, 2020",
"Oct 20, 2020",
"Oct 20, 2020",
"Oct 20, 2020",
"Oct 20, 2020",
"Oct 20, 2020",
"Oct 21, 2020",
"Oct 21, 2020",
"Oct 21, 2020",
"Oct 21, 2020",
"Oct 21, 2020",
"Oct 21, 2020",
"Oct 21, 2020",0.121
"Oct 21, 2020",
"Oct 21, 2020",
"Oct 21, 2020",
"Oct 21, 2020",
"Oct 21, 2020",
"Oct 21, 2020",
"Oct 21, 2020",
"Oct 22, 2020",
"Oct 22, 2020",
"Oct 22, 2020",
"Oct 22, 2020",
"Oct 22, 2020",
"Oct 22, 2020",
"Oct 22, 2020",0.121
"Oct 22, 2020",
"Oct 22, 2020",
"Oct 22, 2020",
"Oct 22, 2020",
"Oct 22, 2020",
"Oct 22, 2020",
"Oct 22, 2020",
"Oct 23, 2020",
"Oct 23, 2020",
"Oct 23, 2020",
"Oct 23, 2020",
"Oct 23, 2020",
"Oct 23, 2020",
"Oct 23, 2020",0.119
"Oct 23, 2020",
"Oct 23, 2020",
"Oct 23, 2020",
"Oct 23, 2020",
"Oct 23, 2020",
"Oct 23, 2020",
"Oct 23, 2020",
"Oct 24, 2020",
"Oct 24, 2020",
"Oct 24, 2020",
"Oct 24, 2020",
"Oct 24, 2020",
"Oct 24, 2020",
"Oct 24, 2020",0.12
"Oct 24, 2020",
"Oct 24, 2020",
"Oct 24, 2020",
"Oct 24, 2020",
"Oct 24, 2020",
"Oct 24, 2020",
"Oct 24, 2020",
"Oct 24, 2020",
"Oct 25, 2020",
"Oct 25, 2020",
"Oct 25, 2020",
"Oct 25, 2020",
"Oct 25, 2020",
"Oct 25, 2020",0.12
"Oct 25, 2020",
"Oct 25, 2020",
"Oct 25, 2020",
"Oct 25, 2020",
"Oct 25, 2020",
"Oct 25, 2020",
"Oct 25, 2020",
"Oct 25, 2020",
"Oct 26, 2020",
"Oct 26, 2020",
"Oct 26, 2020",
"Oct 26, 2020",
"Oct 26, 2020",
"Oct 26, 2020",
"Oct 26, 2020",0.121
"Oct 26, 2020",
"Oct 26, 2020",
"Oct 26, 2020",
"Oct 26, 2020",
"Oct 26, 2020",
"Oct 26, 2020",
"Oct 26, 2020",
"Oct 27, 2020",
"Oct 27, 2020",
"Oct 27, 2020",
"Oct 27, 2020",
"Oct 27, 2020",
"Oct 27, 2020",
"Oct 27, 2020",0.123
"Oct 27, 2020",
"Oct 27, 2020",
"Oct 27, 2020",
"Oct 27, 2020",
"Oct 27, 2020",
"Oct 27, 2020",
"Oct 27, 2020",
"Oct 28, 2020",
"Oct 28, 2020",
"Oct 28, 2020",
"Oct 28, 2020",
"Oct 28, 2020",
"Oct 28, 2020",
"Oct 28, 2020",0.123
"Oct 28, 2020",
"Oct 28, 2020",
"Oct 28, 2020",
"Oct 28, 2020",
"Oct 28, 2020",
"Oct 28, 2020",
"Oct 28, 2020",
"Oct 29, 2020",
"Oct 29, 2020",
"Oct 29, 2020",
"Oct 29, 2020",
"Oct 29, 2020",
"Oct 29, 2020",
"Oct 29, 2020",0.121
"Oct 29, 2020",
"Oct 29, 2020",
"Oct 29, 2020",
"Oct 29, 2020",
"Oct 29, 2020",
"Oct 29, 2020",
"Oct 29, 2020",
"Oct 29, 2020",
"Oct 30, 2020",
"Oct 30, 2020",
"Oct 30, 2020",
"Oct 30, 2020",
"Oct 30, 2020",
"Oct 30, 2020",0.122
"Oct 30, 2020",
"Oct 30, 2020",
"Oct 30, 2020",
"Oct 30, 2020",
"Oct 30, 2020",
"Oct 30, 2020",
"Oct 30, 2020",
"Oct 30, 2020",
"Oct 31, 2020",
"Oct 31, 2020",
"Oct 31, 2020",
"Oct 31, 2020",
"Oct 31, 2020",
"Oct 31, 2020",0.122
"Oct 31, 2020",
"Oct 31, 2020",
"Oct 31, 2020",
"Oct 31, 2020",
"Oct 31, 2020",
"Oct 31, 2020",
"Oct 31, 2020",
"Oct 31, 2020",
"Nov 1, 2020",
"Nov 1, 2020",
"Nov 1, 2020",
"Nov 1, 2020",
"Nov 1, 2020",
"Nov 1, 2020",
"Nov 1, 2020",0.12
"Nov 1, 2020",
"Nov 1, 2020",
"Nov 1, 2020",
"Nov 1, 2020",
"Nov 1, 2020",
"Nov 1, 2020",
"Nov 1, 2020",
"Nov 2, 2020",
"Nov 2, 2020",
"Nov 2, 2020",
"Nov 2, 2020",
"Nov 2, 2020",
"Nov 2, 2020",
"Nov 2, 2020",0.12
"Nov 2, 2020",
"Nov 2, 2020",
"Nov 2, 2020",
"Nov 2, 2020",
"Nov 2, 2020",
"Nov 2, 2020",
"Nov 2, 2020",
"Nov 3, 2020",
"Nov 3, 2020",
"Nov 3, 2020",
"Nov 3, 2020",
"Nov 3, 2020",
"Nov 3, 2020",
"Nov 3, 2020",0.121
"Nov 3, 2020",
"Nov 3, 2020",
"Nov 3, 2020",
"Nov 3, 2020",
"Nov 3, 2020",
"Nov 3, 2020",
"Nov 3, 2020",
"Nov 4, 2020",
"Nov 4, 2020",
"Nov 4, 2020",
"Nov 4, 2020",
"Nov 4, 2020",
"Nov 4, 2020",
"Nov 4, 2020",0.122
"Nov 4, 2020",
"Nov 4, 2020",
"Nov 4, 2020",
"Nov 4, 2020",
"Nov 4, 2020",
"Nov 4, 2020",
"Nov 4, 2020",
"Nov 4, 2020",
"Nov 5, 2020",
"Nov 5, 2020",
"Nov 5, 2020",
"Nov 5, 2020",
"Nov 5, 2020",
"Nov 5, 2020",0.12
"Nov 5, 2020",
"Nov 5, 2020",
"Nov 5, 2020",
"Nov 5, 2020",
"Nov 5, 2020",
"Nov 5, 2020",
"Nov 5, 2020",
"Nov 5, 2020",
"Nov 6, 2020",
"Nov 6, 2020",
"Nov 6, 2020",
"Nov 6, 2020",
"Nov 6, 2020",
"Nov 6, 2020",
"Nov 6, 2020",0.12
"Nov 6, 2020",
"Nov 6, 2020",
"Nov 6, 2020",
"Nov 6, 2020",
"Nov 6, 2020",
"Nov 6, 2020",
"Nov 6, 2020",
"Nov 7, 2020",
"Nov 7, 2020",
"Nov 7, 2020",
"Nov 7, 2020",
"Nov 7, 2020",
"Nov 7, 2020",
"Nov 7, 2020",0.121
"Nov 7, 2020",
"Nov 7, 2020",
"Nov 7, 2020",
"Nov 7, 2020",
"Nov 7, 2020",
"Nov 7, 2020",
"Nov 7, 2020",
"Nov 8, 2020",
"Nov 8, 2020",
"Nov 8, 2020",
"Nov 8, 2020",
"Nov 8, 2020",
"Nov 8, 2020",
"Nov 8, 2020",0.119
"Nov 8, 2020",
"Nov 8, 2020",
"Nov 8, 2020",
"Nov 8, 2020",
"Nov 8, 2020",
"Nov 8, 2020",
"Nov 8, 2020",
"Nov 9, 2020",
"Nov 9, 2020",
"Nov 9, 2020",
"Nov 9, 2020",
"Nov 9, 2020",
"Nov 9, 2020",
"Nov 9, 2020",0.119
"Nov 9, 2020",
"Nov 9, 2020",
"Nov 9, 2020",
"Nov 9, 2020",
"Nov 9, 2020",
"Nov 9, 2020",
"Nov 9, 2020",
"Nov 9, 2020",
"Nov 10, 2020",
"Nov 10, 2020",
"Nov 10, 2020",
"Nov 10, 2020",
"Nov 10, 2020",
"Nov 10, 2020",0.119
"Nov 10, 2020",
"Nov 10, 2020",
"Nov 10, 2020",
"Nov 10, 2020",
"Nov 10, 2020",
"Nov 10, 2020",
"Nov 10, 2020",
"Nov 10, 2020",
"Nov 11, 2020",
"Nov 11, 2020",
"Nov 11, 2020",
"Nov 11, 2020",
"Nov 11, 2020",
"Nov 11, 2020",
"Nov 11, 2020",0.119
"Nov 11, 2020",
"Nov 11, 2020",
"Nov 11, 2020",
"Nov 11, 2020",
"Nov 11, 2020",
"Nov 11, 2020",
"Nov 11, 2020",
"Nov 12, 2020",
"Nov 12, 2020",
"Nov 12, 2020",
"Nov 12, 2020",
"Nov 12, 2020",
"Nov 12, 2020",
"Nov 12, 2020",0.12
"Nov 12, 2020",
"Nov 12, 2020",
"Nov 12, 2020",
"Nov 12, 2020",
"Nov 12, 2020",
"Nov 12, 2020",
"Nov 12, 2020",
"Nov 13, 2020",
"Nov 13, 2020",
"Nov 13, 2020",
"Nov 13, 2020",
"Nov 13, 2020",
"Nov 13, 2020",
"Nov 13, 2020",0.116
"Nov 13, 2020",
"Nov 13, 2020",
"Nov 13, 2020",
"Nov 13, 2020",
"Nov 13, 2020",
"Nov 13, 2020",
"Nov 13, 2020",
"Nov 14, 2020",
"Nov 14, 2020",
"Nov 14, 2020",
"Nov 14, 2020",
"Nov 14, 2020",
"Nov 14, 2020",
"Nov 14, 2020",0.114
"Nov 14, 2020",
"Nov 14, 2020",
"Nov 14, 2020",
"Nov 14, 2020",
"Nov 14, 2020",
"Nov 14, 2020",
"Nov 14, 2020",
"Nov 14, 2020",
"Nov 15, 2020",
"Nov 15, 2020",
"Nov 15, 2020",
"Nov 15, 2020",
"Nov 15, 2020",
"Nov 15, 2020",0.117
"Nov 15, 2020",
"Nov 15, 2020",
"Nov 15, 2020",
"Nov 15, 2020",
"Nov 15, 2020",
"Nov 15, 2020",
"Nov 15, 2020",
"Nov 15, 2020",
"Nov 16, 2020",
"Nov 16, 2020",
"Nov 16, 2020",
"Nov 16, 2020",
"Nov 16, 2020",
"Nov 16, 2020",0.12
"Nov 16, 2020",
"Nov 16, 2020",
"Nov 16, 2020",
"Nov 16, 2020",
"Nov 16, 2020",
"Nov 16, 2020",
"Nov 16, 2020",
"Nov 16, 2020",
"Nov 17, 2020",
"Nov 17, 2020",
"Nov 17, 2020",
"Nov 17, 2020",
"Nov 17, 2020",
"Nov 17, 2020",
"Nov 17, 2020",0.119
"Nov 17, 2020",
"Nov 17, 2020",
"Nov 17, 2020",
"Nov 17, 2020",
"Nov 17, 2020",
"Nov 17, 2020",
"Nov 17, 2020",
"Nov 18, 2020",
"Nov 18, 2020",
"Nov 18, 2020",
"Nov 18, 2020",
"Nov 18, 2020",
"Nov 18, 2020",
"Nov 18, 2020",0.118
"Nov 18, 2020",
"Nov 18, 2020",
"Nov 18, 2020",
"Nov 18, 2020",
"Nov 18, 2020",
"Nov 18, 2020",
"Nov 18, 2020",
"Nov 19, 2020",
"Nov 19, 2020",
"Nov 19, 2020",
"Nov 19, 2020",
"Nov 19, 2020",
"Nov 19, 2020",
"Nov 19, 2020",0.117
"Nov 19, 2020",
"Nov 19, 2020",
"Nov 19, 2020",
"Nov 19, 2020",
"Nov 19, 2020",
"Nov 19, 2020",
"Nov 19, 2020",
"Nov 19, 2020",
"Nov 20, 2020",
"Nov 20, 2020",
"Nov 20, 2020",
"Nov 20, 2020",
"Nov 20, 2020",
"Nov 20, 2020",0.115
"Nov 20, 2020",
"Nov 20, 2020",
"Nov 20, 2020",
"Nov 20, 2020",
"Nov 20, 2020",
"Nov 20, 2020",
"Nov 20, 2020",
"Nov 20, 2020",
"Nov 21, 2020",
"Nov 21, 2020",
"Nov 21, 2020",
"Nov 21, 2020",
"Nov 21, 2020",
"Nov 21, 2020",0.116
"Nov 21, 2020",
"Nov 21, 2020",
"Nov 21, 2020",
"Nov 21, 2020",
"Nov 21, 2020",
"Nov 21, 2020",
"Nov 21, 2020",
"Nov 21, 2020",
"Nov 22, 2020",
"Nov 22, 2020",
"Nov 22, 2020",
"Nov 22, 2020",
"Nov 22, 2020",
"Nov 22, 2020",
"Nov 22, 2020",0.116
"Nov 22, 2020",
"Nov 22, 2020",
"Nov 22, 2020",
"Nov 22, 2020",
"Nov 22, 2020",
"Nov 22, 2020",
"Nov 22, 2020",
"Nov 23, 2020",
"Nov 23, 2020",
"Nov 23, 2020",
"Nov 23, 2020",
"Nov 23, 2020",
"Nov 23, 2020",
"Nov 23, 2020",0.114
"Nov 23, 2020",
"Nov 23, 2020",
"Nov 23, 2020",
"Nov 23, 2020",
"Nov 23, 2020",
"Nov 23, 2020",
"Nov 23, 2020",
"Nov 24, 2020",
"Nov 24, 2020",
"Nov 24, 2020",
"Nov 24, 2020",
"Nov 24, 2020",
"Nov 24, 2020",
"Nov 24, 2020",0.115
"Nov 24, 2020",
"Nov 24, 2020",
"Nov 24, 2020",
"Nov 24, 2020",
"Nov 24, 2020",
"Nov 24, 2020",
"Nov 24, 2020",
"Nov 25, 2020",
"Nov 25, 2020",
"Nov 25, 2020",
"Nov 25, 2020",
"Nov 25, 2020",
"Nov 25, 2020",
"Nov 25, 2020",0.115
"Nov 25, 2020",
"Nov 25, 2020",
"Nov 25, 2020",
"Nov 25, 2020",
"Nov 25, 2020",
"Nov 25, 2020",
"Nov 25, 2020",
"Nov 25, 2020",
"Nov 26, 2020",
"Nov 26, 2020",
"Nov 26, 2020",
"Nov 26, 2020",
"Nov 26, 2020",
"Nov 26, 2020",0.116
"Nov 26, 2020",
"Nov 26, 2020",
"Nov 26, 2020",
"Nov 26, 2020",
"Nov 26, 2020",
"Nov 26, 2020",
"Nov 26, 2020",
"Nov 26, 2020",
"Nov 27, 2020",
"Nov 27, 2020",
"Nov 27, 2020",
"Nov 27, 2020",
"Nov 27, 2020",
"Nov 27, 2020",
"Nov 27, 2020",0.116
"Nov 27, 2020",
"Nov 27, 2020",
"Nov 27, 2020",
"Nov 27, 2020",
"Nov 27, 2020",
"Nov 27, 2020",
"Nov 27, 2020",
"Nov 28, 2020",
"Nov 28, 2020",
"Nov 28, 2020",
"Nov 28, 2020",
"Nov 28, 2020",
"Nov 28, 2020",
"Nov 28, 2020",0.115
"Nov 28, 2020",
"Nov 28, 2020",
"Nov 28, 2020",
"Nov 28, 2020",
"Nov 28, 2020",
"Nov 28, 2020",
"Nov 28, 2020",
"Nov 29, 2020",
"Nov 29, 2020",
"Nov 29, 2020",
"Nov 29, 2020",
"Nov 29, 2020",
"Nov 29, 2020",
"Nov 29, 2020",0.116
"Nov 29, 2020",
"Nov 29, 2020",
"Nov 29, 2020",
"Nov 29, 2020",
"Nov 29, 2020",
"Nov 29, 2020",
"Nov 29, 2020",
"Nov 30, 2020",
"Nov 30, 2020",
"Nov 30, 2020",
"Nov 30, 2020",
"Nov 30, 2020",
"Nov 30, 2020",
"Nov 30, 2020",0.119
"Nov 30, 2020",
"Nov 30, 2020",
"Nov 30, 2020",
"Nov 30, 2020",
"Nov 30, 2020",
"Nov 30, 2020",
"Nov 30, 2020",
"Nov 30, 2020",
"Dec 1, 2020",
"Dec 1, 2020",
"Dec 1, 2020",
"Dec 1, 2020",
"Dec 1, 2020",
"Dec 1, 2020",0.12
"Dec 1, 2020",
"Dec 1, 2020",
"Dec 1, 2020",
"Dec 1, 2020",
"Dec 1, 2020",
"Dec 1, 2020",
"Dec 1, 2020",
"Dec 1, 2020",
"Dec 2, 2020",
"Dec 2, 2020",
"Dec 2, 2020",
"Dec 2, 2020",
"Dec 2, 2020",
"Dec 2, 2020",0.121
"Dec 2, 2020",
"Dec 2, 2020",
"Dec 2, 2020",
"Dec 2, 2020",
"Dec 2, 2020",
"Dec 2, 2020",
"Dec 2, 2020",
"Dec 2, 2020",
"Dec 3, 2020",
"Dec 3, 2020",
"Dec 3, 2020",
"Dec 3, 2020",
"Dec 3, 2020",
"Dec 3, 2020",
"Dec 3, 2020",0.118
"Dec 3, 2020",
"Dec 3, 2020",
"Dec 3, 2020",
"Dec 3, 2020",
"Dec 3, 2020",
"Dec 3, 2020",
"Dec 3, 2020",
"Dec 4, 2020",
"Dec 4, 2020",
"Dec 4, 2020",
"Dec 4, 2020",
"Dec 4, 2020",
"Dec 4, 2020",0.118
"Dec 4, 2020",
"Dec 4, 2020",
"Dec 4, 2020",
"Dec 4, 2020",
"Dec 4, 2020",
"Dec 4, 2020",
"Dec 4, 2020",
"Dec 5, 2020",
"Dec 5, 2020",
"Dec 5, 2020",
"Dec 5, 2020",
"Dec 5, 2020",
"Dec 5, 2020",
"Dec 5, 2020",0.115
"Dec 5, 2020",
"Dec 5, 2020",
"Dec 5, 2020",
"Dec 5, 2020",
"Dec 5, 2020",
"Dec 5, 2020",
"Dec 5, 2020",
"Dec 5, 2020",
"Dec 6, 2020",
"Dec 6, 2020",
"Dec 6, 2020",
"Dec 6, 2020",
"Dec 6, 2020",
"Dec 6, 2020",0.115
"Dec 6, 2020",
"Dec 6, 2020",
"Dec 6, 2020",
"Dec 6, 2020",
"Dec 6, 2020",
"Dec 6, 2020",
"Dec 6, 2020",
"Dec 6, 2020",
"Dec 7, 2020",
"Dec 7, 2020",
"Dec 7, 2020",
"Dec 7, 2020",
"Dec 7, 2020",
"Dec 7, 2020",0.114
"Dec 7, 2020",
"Dec 7, 2020",
"Dec 7, 2020",
"Dec 7, 2020",
"Dec 7, 2020",
"Dec 7, 2020",
"Dec 7, 2020",
"Dec 7, 2020",
"Dec 8, 2020",
"Dec 8, 2020",
"Dec 8, 2020",
"Dec 8, 2020",
"Dec 8, 2020",
"Dec 8, 2020",
"Dec 8, 2020",0.111
"Dec 8, 2020",
"Dec 8, 2020",
"Dec 8, 2020",
"Dec 8, 2020",
"Dec 8, 2020",
"Dec 8, 2020",
"Dec 8, 2020",
"Dec 9, 2020",
"Dec 9, 2020",
"Dec 9, 2020",
"Dec 9, 2020",
"Dec 9, 2020",
"Dec 9, 2020",
"Dec 9, 2020",0.114
"Dec 9, 2020",
"Dec 9, 2020",
"Dec 9, 2020",
"Dec 9, 2020",
"Dec 9, 2020",
"Dec 9, 2020",
"Dec 9, 2020",
"Dec 10, 2020",
"Dec 10, 2020",
"Dec 10, 2020",
"Dec 10, 2020",
"Dec 10, 2020",
"Dec 10, 2020",
"Dec 10, 2020",0.114
"Dec 10, 2020",
"Dec 10, 2020",
"Dec 10, 2020",
"Dec 10, 2020",
"Dec 10, 2020",
"Dec 10, 2020",
"Dec 10, 2020",
"Dec 11, 2020",
"Dec 11, 2020",
"Dec 11, 2020",
"Dec 11, 2020",
"Dec 11, 2020",
"Dec 11, 2020",
"Dec 11, 2020",0.114
"Dec 11, 2020",
"Dec 11, 2020",
"Dec 11, 2020",
"Dec 11, 2020",
"Dec 11, 2020",
"Dec 11, 2020",
"Dec 11, 2020",
"Dec 11, 2020",
"Dec 12, 2020",
"Dec 12, 2020",
"Dec 12, 2020",
"Dec 12, 2020",
"Dec 12, 2020",
"Dec 12, 2020",0.116
"Dec 12, 2020",
"Dec 12, 2020",
"Dec 12, 2020",
"Dec 12, 2020",
"Dec 12, 2020",
"Dec 12, 2020",
"Dec 12, 2020",
"Dec 12, 2020",
"Dec 13, 2020",
"Dec 13, 2020",
"Dec 13, 2020",
"Dec 13, 2020",
"Dec 13, 2020",
"Dec 13, 2020",
"Dec 13, 2020",0.115
"Dec 13, 2020",
"Dec 13, 2020",
"Dec 13, 2020",
"Dec 13, 2020",
"Dec 13, 2020",
"Dec 13, 2020",
"Dec 13, 2020",
"Dec 14, 2020",
"Dec 14, 2020",
"Dec 14, 2020",
"Dec 14, 2020",
"Dec 14, 2020",
"Dec 14, 2020",
"Dec 14, 2020",0.116
"Dec 14, 2020",
"Dec 14, 2020",
"Dec 14, 2020",
"Dec 14, 2020",
"Dec 14, 2020",
"Dec 14, 2020",
"Dec 14, 2020",
"Dec 15, 2020",
"Dec 15, 2020",
"Dec 15, 2020",
"Dec 15, 2020",
"Dec 15, 2020",
"Dec 15, 2020",
"Dec 15, 2020",0.115
"Dec 15, 2020",
"Dec 15, 2020",
"Dec 15, 2020",
"Dec 15, 2020",
"Dec 15, 2020",
"Dec 15, 2020",
"Dec 15, 2020",
"Dec 16, 2020",
"Dec 16, 2020",
"Dec 16, 2020",
"Dec 16, 2020",
"Dec 16, 2020",
"Dec 16, 2020",
"Dec 16, 2020",0.116
"Dec 16, 2020",
"Dec 16, 2020",
"Dec 16, 2020",
"Dec 16, 2020",
"Dec 16, 2020",
"Dec 16, 2020",
"Dec 16, 2020",
"Dec 16, 2020",
"Dec 17, 2020",
"Dec 17, 2020",
"Dec 17, 2020",
"Dec 17, 2020",
"Dec 17, 2020",
"Dec 17, 2020",0.115
"Dec 17, 2020",
"Dec 17, 2020",
"Dec 17, 2020",
"Dec 17, 2020",
"Dec 17, 2020",
"Dec 17, 2020",
"Dec 17, 2020",
"Dec 17, 2020",
"Dec 18, 2020",
"Dec 18, 2020",
"Dec 18, 2020",
"Dec 18, 2020",
"Dec 18, 2020",
"Dec 18, 2020",0.115
"Dec 18, 2020",
"Dec 18, 2020",
"Dec 18, 2020",
"Dec 18, 2020",
"Dec 18, 2020",
"Dec 18, 2020",
"Dec 18, 2020",
"Dec 18, 2020",
"Dec 19, 2020",
"Dec 19, 2020",
"Dec 19, 2020",
"Dec 19, 2020",
"Dec 19, 2020",
"Dec 19, 2020",
"Dec 19, 2020",0.116
"Dec 19, 2020",
"Dec 19, 2020",
"Dec 19, 2020",
"Dec 19, 2020",
"Dec 19, 2020",
"Dec 19, 2020",
"Dec 19, 2020",
"Dec 20, 2020",
"Dec 20, 2020",
"Dec 20, 2020",
"Dec 20, 2020",
"Dec 20, 2020",
"Dec 20, 2020",
"Dec 20, 2020",0.115
"Dec 20, 2020",
"Dec 20, 2020",
"Dec 20, 2020",
"Dec 20, 2020",
"Dec 20, 2020",
"Dec 20, 2020",
"Dec 20, 2020",
"Dec 21, 2020",
"Dec 21, 2020",
"Dec 21, 2020",
"Dec 21, 2020",
"Dec 21, 2020",
"Dec 21, 2020",
"Dec 21, 2020",0.114
"Dec 21, 2020",
"Dec 21, 2020",
"Dec 21, 2020",
"Dec 21, 2020",
"Dec 21, 2020",
"Dec 21, 2020",
"Dec 21, 2020",
"Dec 21, 2020",
"Dec 22, 2020",
"Dec 22, 2020",
"Dec 22, 2020",
"Dec 22, 2020",
"Dec 22, 2020",
"Dec 22, 2020",0.114
"Dec 22, 2020",
"Dec 22, 2020",
"Dec 22, 2020",
"Dec 22, 2020",
"Dec 22, 2020",
"Dec 22, 2020",
"Dec 22, 2020",
"Dec 22, 2020",
"Dec 23, 2020",
"Dec 23, 2020",
"Dec 23, 2020",
"Dec 23, 2020",
"Dec 23, 2020",
"Dec 23, 2020",0.113
"Dec 23, 2020",
"Dec 23, 2020",
"Dec 23, 2020",
"Dec 23, 2020",
"Dec 23, 2020",
"Dec 23, 2020",
"Dec 23, 2020",
"Dec 23, 2020",
"Dec 24, 2020",
"Dec 24, 2020",
"Dec 24, 2020",
"Dec 24, 2020",
"Dec 24, 2020",
"Dec 24, 2020",
"Dec 24, 2020",0.112
"Dec 24, 2020",
"Dec 24, 2020",
"Dec 24, 2020",
"Dec 24, 2020",
"Dec 24, 2020",
"Dec 24, 2020",
"Dec 24, 2020",
"Dec 25, 2020",
"Dec 25, 2020",
"Dec 25, 2020",
"Dec 25, 2020",
"Dec 25, 2020",
"Dec 25, 2020",
"Dec 25, 2020",0.114
"Dec 25, 2020",
"Dec 25, 2020",
"Dec 25, 2020",
"Dec 25, 2020",
"Dec 25, 2020",
"Dec 25, 2020",
"Dec 25, 2020",
"Dec 26, 2020",
"Dec 26, 2020",
"Dec 26, 2020",
"Dec 26, 2020",
"Dec 26, 2020",
"Dec 26, 2020",
"Dec 26, 2020",0.114
"Dec 26, 2020",
"Dec 26, 2020",
"Dec 26, 2020",
"Dec 26, 2020",
"Dec 26, 2020",
"Dec 26, 2020",
"Dec 26, 2020",
"Dec 27, 2020",
"Dec 27, 2020",
"Dec 27, 2020",
"Dec 27, 2020",
"Dec 27, 2020",
"Dec 27, 2020",
"Dec 27, 2020",0.113
"Dec 27, 2020",
"Dec 27, 2020",
"Dec 27, 2020",
"Dec 27, 2020",
"Dec 27, 2020",
"Dec 27, 2020",
"Dec 27, 2020",
"Dec 27, 2020",
"Dec 28, 2020",
"Dec 28, 2020",
"Dec 28, 2020",
"Dec 28, 2020",
"Dec 28, 2020",
"Dec 28, 2020",0.113
"Dec 28, 2020",
"Dec 28, 2020",
"Dec 28, 2020",
"Dec 28, 2020",
"Dec 28, 2020",
"Dec 28, 2020",
"Dec 28, 2020",
"Dec 28, 2020",
"Dec 29, 2020",
"Dec 29, 2020",
"Dec 29, 2020",
"Dec 29, 2020",
"Dec 29, 2020",
"Dec 29, 2020",
"Dec 29, 2020",0.11
"Dec 29, 2020",
"Dec 29, 2020",
"Dec 29, 2020",
"Dec 29, 2020",
"Dec 29, 2020",
"Dec 29, 2020",
"Dec 29, 2020",
"Dec 30, 2020",
"Dec 30, 2020",
"Dec 30, 2020",
"Dec 30, 2020",
"Dec 30, 2020",
"Dec 30, 2020",
"Dec 30, 2020",0.111
"Dec 30, 2020",
"Dec 30, 2020",
"Dec 30, 2020",
"Dec 30, 2020",
"Dec 30, 2020",
"Dec 30, 2020",
"Dec 30, 2020",
"Dec 31, 2020",
"Dec 31, 2020",
"Dec 31, 2020",
"Dec 31, 2020",
"Dec 31, 2020",
"Dec 31, 2020",
"Dec 31, 2020",0.112
"Dec 31, 2020",
"Dec 31, 2020",
"Dec 31, 2020",
"Dec 31, 2020",
"Dec 31, 2020",
"Dec 31, 2020",
"Dec 31, 2020",
"Jan 1, 2021",
"Jan 1, 2021",
"Jan 1, 2021",
"Jan 1, 2021",
"Jan 1, 2021",
"Jan 1, 2021",
"Jan 1, 2021",0.114
"Jan 1, 2021",
"Jan 1, 2021",
"Jan 1, 2021",
"Jan 1, 2021",
"Jan 1, 2021",
"Jan 1, 2021",
"Jan 1, 2021",
"Jan 1, 2021",
"Jan 2, 2021",
"Jan 2, 2021",
"Jan 2, 2021",
"Jan 2, 2021",
"Jan 2, 2021",
"Jan 2, 2021",0.115
"Jan 2, 2021",
"Jan 2, 2021",
"Jan 2, 2021",
"Jan 2, 2021",
"Jan 2, 2021",
"Jan 2, 2021",
"Jan 2, 2021",
"Jan 2, 2021",
"Jan 3, 2021",
"Jan 3, 2021",
"Jan 3, 2021",
"Jan 3, 2021",
"Jan 3, 2021",
"Jan 3, 2021",0.112
"Jan 3, 2021",
"Jan 3, 2021",
"Jan 3, 2021",
"Jan 3, 2021",
"Jan 3, 2021",
"Jan 3, 2021",
"Jan 3, 2021",
"Jan 3, 2021",
"Jan 4, 2021",
"Jan 4, 2021",
"Jan 4, 2021",
"Jan 4, 2021",
"Jan 4, 2021",
"Jan 4, 2021",
"Jan 4, 2021",0.112
"Jan 4, 2021",
"Jan 4, 2021",
"Jan 4, 2021",
"Jan 4, 2021",
"Jan 4, 2021",
"Jan 4, 2021",
"Jan 4, 2021",
"Jan 5, 2021",
"Jan 5, 2021",
"Jan 5, 2021",
"Jan 5, 2021",
"Jan 5, 2021",
"Jan 5, 2021",
"Jan 5, 2021",0.111
"Jan 5, 2021",
"Jan 5, 2021",
"Jan 5, 2021",
"Jan 5, 2021",
"Jan 5, 2021",
"Jan 5, 2021",
"Jan 5, 2021",
"Jan 6, 2021",
"Jan 6, 2021",
"Jan 6, 2021",
"Jan 6, 2021",
"Jan 6, 2021",
"Jan 6, 2021",
"Jan 6, 2021",0.11
"Jan 6, 2021",
"Jan 6, 2021",
"Jan 6, 2021",
"Jan 6, 2021",
"Jan 6, 2021",
"Jan 6, 2021",
"Jan 6, 2021",
"Jan 7, 2021",
"Jan 7, 2021",
"Jan 7, 2021",
"Jan 7, 2021",
"Jan 7, 2021",
"Jan 7, 2021",0.111
"Jan 7, 2021",
"Jan 7, 2021",
"Jan 7, 2021",
"Jan 7, 2021",
"Jan 7, 2021",
"Jan 7, 2021",
"Jan 7, 2021",
"Jan 7, 2021",
"Jan 8, 2021",
"Jan 8, 2021",
"Jan 8, 2021",
"Jan 8, 2021",
"Jan 8, 2021",
"Jan 8, 2021",0.114
"Jan 8, 2021",
"Jan 8, 2021",
